2020/08/06 07:14:29: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:14:36:     Epoch 77 Loss | total: 505.08 | cycle: 52.7 | f_dist: 56.9 | g_dist: 57 | f_sup: 170 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.31 | half: 0.77
2020/08/06 07:14:36:     Epoch 79 Loss | total: 492.8 | cycle: 40.9 | f_dist: 56.7 | g_dist: 57 | f_sup: 170 | g_sup: 168        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.31 | half: 0.77
2020/08/06 07:14:36:     Epoch 81 Loss | total: 496.01 | cycle: 44.5 | f_dist: 56.6 | g_dist: 56.9 | f_sup: 170 | g_sup: 168        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:37:     Epoch 83 Loss | total: 500.64 | cycle: 49.9 | f_dist: 56.6 | g_dist: 57.1 | f_sup: 169 | g_sup: 168        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:37:     Epoch 85 Loss | total: 503.35 | cycle: 53.2 | f_dist: 57 | g_dist: 56.9 | f_sup: 169 | g_sup: 168        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.31 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:37:     Epoch 87 Loss | total: 500.66 | cycle: 51.4 | f_dist: 56.7 | g_dist: 56.8 | f_sup: 168 | g_sup: 167        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.31 | half: 0.77
2020/08/06 07:14:37:     Epoch 89 Loss | total: 491.54 | cycle: 43.2 | f_dist: 56.5 | g_dist: 56.7 | f_sup: 168 | g_sup: 167        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:37:     Epoch 91 Loss | total: 489.65 | cycle: 42.2 | f_dist: 56.5 | g_dist: 56.4 | f_sup: 167 | g_sup: 167        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.31 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.30 | half: 0.77
2020/08/06 07:14:38:     Epoch 93 Loss | total: 489.36 | cycle: 43.7 | f_dist: 56.3 | g_dist: 56.3 | f_sup: 167 | g_sup: 166        f(x) Accuracy | 1: 0.10 | 5: 0.22 | 10: 0.31 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.22 | 10: 0.30 | half: 0.77
2020/08/06 07:14:38:     Epoch 95 Loss | total: 491.73 | cycle: 48 | f_dist: 56.1 | g_dist: 56.5 | f_sup: 166 | g_sup: 165        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.30 | half: 0.78        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.30 | half: 0.77
2020/08/06 07:14:38:     Epoch 97 Loss | total: 491.09 | cycle: 50 | f_dist: 55.8 | g_dist: 56.1 | f_sup: 164 | g_sup: 165        f(x) Accuracy | 1: 0.09 | 5: 0.21 | 10: 0.32 | half: 0.78        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.30 | half: 0.77
2020/08/06 07:14:38:     Epoch 99 Loss | total: 484.17 | cycle: 45.6 | f_dist: 55.2 | g_dist: 55.4 | f_sup: 163 | g_sup: 165        f(x) Accuracy | 1: 0.03 | 5: 0.18 | 10: 0.30 | half: 0.78        g(y) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.32 | half: 0.78
2020/08/06 07:14:38: Restart:0        f(x) Accuracy | 1: 0.03 | 5: 0.16 | 10: 0.26 | half: 0.75        g(y) Accuracy | 1: 0.07 | 5: 0.21 | 10: 0.29 | half: 0.77    Epoch 100 Loss | total: 488.61 | cycle: 45.6 | f_dist: 55.4 | g_dist: 56.7 | f_sup: 162 | g_sup: 169
2020/08/06 07:14:38:         f(x) Accuracy | 1: 0.03 | 5: 0.16 | 10: 0.26 | half: 0.75        g(y) Accuracy | 1: 0.07 | 5: 0.21 | 10: 0.29 | half: 0.77
